Name,TIME,IO
data015,2026-02-12 02:21:15.120,X
data015,2026-02-12 02:22:17.300,X
data015,2026-02-12 02:23:57.439,X
data015,2026-02-12 02:25:05.009,X
data015,2026-02-12 02:26:06.300,X
data015,2026-02-12 02:27:07.899,X
data015,2026-02-12 02:28:12.280,X
data015,2026-02-12 02:29:17.259,X
data015,2026-02-12 02:30:23.889,X
data015,2026-02-12 02:31:30.489,X
data015,2026-02-12 02:32:34.880,X
data015,2026-02-12 02:33:41.780,X
data015,2026-02-12 02:34:52.059,X
data015,2026-02-12 02:36:00.060,X
data015,2026-02-12 02:37:12.840,X
data015,2026-02-12 02:38:22.840,X
data015,2026-02-12 02:39:31.640,X
data015,2026-02-12 02:40:33.470,X
data015,2026-02-12 02:41:38.039,X
data015,2026-02-12 02:42:40.220,X
data015,2026-02-12 02:43:47.620,X
data015,2026-02-12 02:44:55.119,X
data015,2026-02-12 02:46:03.649,X
data015,2026-02-12 02:47:05.010,X
data015,2026-02-12 02:48:39.099,X
data015,2026-02-12 02:50:01.709,X
data015,2026-02-12 02:51:17.710,X
data015,2026-02-12 02:52:30.129,X
data015,2026-02-12 02:53:48.010,X
data015,2026-02-12 02:54:59.389,X
data015,2026-02-12 02:57:16.929,X
data015,2026-02-12 02:58:21.300,X
data015,2026-02-12 02:59:26.519,X
data017,2026-02-12 03:00:01.530,X
data018,2026-02-11 22:58:30.909,X
data018,2026-02-11 22:59:11.289,X
data018,2026-02-12 00:24:32.740,X
data018,2026-02-12 00:25:09.839,X
data018,2026-02-12 00:25:46.960,X
data018,2026-02-12 00:26:25.559,X
data018,2026-02-12 00:27:03.259,X
data018,2026-02-12 00:27:41.460,X
data018,2026-02-12 00:28:44.050,X
data018,2026-02-12 00:29:45.130,X
data018,2026-02-12 00:30:56.420,X
data018,2026-02-12 00:33:26.350,X
data018,2026-02-12 00:34:04.519,X
data018,2026-02-12 00:35:02.739,X
data018,2026-02-12 00:36:14.440,X
data018,2026-02-12 00:41:33.110,X
data018,2026-02-12 00:42:32.690,X
data018,2026-02-12 00:43:34.089,X
data018,2026-02-12 00:44:32.719,X
data018,2026-02-12 00:45:32.790,X
data018,2026-02-12 00:46:35.379,X
data018,2026-02-12 00:47:34.690,X
data018,2026-02-12 00:48:30.900,X
data018,2026-02-12 00:49:32.109,X
data018,2026-02-12 00:50:31.399,X
data018,2026-02-12 00:51:32.670,X
data018,2026-02-12 00:52:33.569,X
data018,2026-02-12 00:53:36.660,X
data018,2026-02-12 00:54:34.879,X
data018,2026-02-12 00:55:35.590,X
data018,2026-02-12 00:56:35.550,X
data018,2026-02-12 00:57:35.160,X
data018,2026-02-12 00:58:35.159,X
data018,2026-02-12 00:59:35.050,X
data018,2026-02-12 01:00:34.090,X
data018,2026-02-12 01:01:36.359,X
data018,2026-02-12 01:02:35.360,X
data018,2026-02-12 01:03:48.930,X
data018,2026-02-12 01:04:49.529,X
data018,2026-02-12 01:05:48.260,X
data018,2026-02-12 01:06:46.759,X
data018,2026-02-12 01:07:48.350,X
data018,2026-02-12 01:08:48.139,X
data018,2026-02-12 01:09:49.030,X
data018,2026-02-12 01:10:51.750,X
data018,2026-02-12 01:11:51.939,X
data018,2026-02-12 01:12:52.240,X
data018,2026-02-12 01:13:55.499,X
data018,2026-02-12 01:15:04.319,X
data018,2026-02-12 01:16:10.400,X
data018,2026-02-12 01:17:50.690,X
data018,2026-02-12 01:18:53.740,X
data018,2026-02-12 01:19:52.279,X
data018,2026-02-12 01:20:56.079,X
data018,2026-02-12 01:23:59.610,X
data018,2026-02-12 01:24:39.889,X
data018,2026-02-12 01:25:17.290,X
data018,2026-02-12 01:25:54.279,X
data018,2026-02-12 01:26:31.569,X
data018,2026-02-12 01:27:08.870,X
data018,2026-02-12 01:27:45.900,X
data018,2026-02-12 01:28:23.569,X
data018,2026-02-12 01:29:01.760,X
data018,2026-02-12 01:29:51.560,X
data018,2026-02-12 01:39:56.690,X
data018,2026-02-12 01:41:34.150,X
data018,2026-02-12 01:42:37.729,X
data018,2026-02-12 01:43:40.639,X
data018,2026-02-12 01:44:40.410,X
data018,2026-02-12 01:45:41.920,X
data018,2026-02-12 01:46:42.630,X
data018,2026-02-12 01:47:42.610,X
data018,2026-02-12 01:48:44.750,X
data018,2026-02-12 01:49:45.500,X
data018,2026-02-12 01:50:44.720,X
data018,2026-02-12 01:51:45.130,X
data018,2026-02-12 01:52:44.890,X
data018,2026-02-12 01:53:44.309,X
data018,2026-02-12 01:54:45.509,X
data018,2026-02-12 01:55:48.289,X
data018,2026-02-12 01:56:48.199,X
data018,2026-02-12 01:57:51.499,X
data018,2026-02-12 01:58:56.499,X
data018,2026-02-12 01:59:56.499,X
data018,2026-02-12 02:00:58.660,X
data018,2026-02-12 02:02:03.500,X
data018,2026-02-12 02:03:05.359,X
data018,2026-02-12 02:04:05.810,X
data018,2026-02-12 02:05:17.780,X
data018,2026-02-12 02:06:23.890,X
data018,2026-02-12 02:07:28.849,X
data018,2026-02-12 02:08:31.779,X
data018,2026-02-12 02:09:31.159,X
data018,2026-02-12 02:10:31.840,X
data018,2026-02-12 02:11:35.730,X
data018,2026-02-12 02:12:36.839,X
data018,2026-02-12 02:13:37.750,X
data018,2026-02-12 02:14:43.060,X
data018,2026-02-12 02:15:42.919,X
data018,2026-02-12 02:16:46.639,X
data018,2026-02-12 02:17:48.420,X
data018,2026-02-12 02:19:02.419,X
data018,2026-02-12 02:20:04.109,X
data018,2026-02-12 02:21:14.940,X
data018,2026-02-12 02:22:17.120,X
data018,2026-02-12 02:23:57.249,X
data018,2026-02-12 02:25:04.819,X
data018,2026-02-12 02:26:06.119,X
data018,2026-02-12 02:27:07.719,X
data018,2026-02-12 02:28:12.100,X
data018,2026-02-12 02:29:17.080,X
data018,2026-02-12 02:30:23.699,X
data018,2026-02-12 02:31:30.310,X
data018,2026-02-12 02:32:34.700,X
data018,2026-02-12 02:33:41.600,X
data018,2026-02-12 02:34:51.879,X
data018,2026-02-12 02:35:59.879,X
data018,2026-02-12 02:37:12.659,X
data018,2026-02-12 02:38:22.650,X
data018,2026-02-12 02:39:31.450,X
data018,2026-02-12 02:40:33.279,X
data018,2026-02-12 02:41:37.859,X
data018,2026-02-12 02:42:40.039,X
data018,2026-02-12 02:43:47.439,X
data018,2026-02-12 02:44:54.940,X
data018,2026-02-12 02:46:03.459,X
data018,2026-02-12 02:47:04.830,X
data018,2026-02-12 02:48:38.920,X
data018,2026-02-12 02:50:01.519,X
data018,2026-02-12 02:51:17.529,X
data018,2026-02-12 02:52:29.940,X
data018,2026-02-12 02:53:47.819,X
data018,2026-02-12 02:54:59.209,X
data018,2026-02-12 02:57:16.740,X
data018,2026-02-12 02:58:21.119,X
data018,2026-02-12 02:59:26.329,X
data021,2026-02-12 02:59:53.909,X
data023,2026-02-11 20:55:06.799,X
data023,2026-02-11 20:56:36.550,X
data023,2026-02-11 20:57:35.980,X
data023,2026-02-11 21:01:42.630,X
data023,2026-02-11 21:02:41.640,X
data023,2026-02-11 21:03:43.930,X
data023,2026-02-11 21:04:44.430,X
data023,2026-02-11 21:05:46.940,X
data023,2026-02-11 21:06:51.529,X
data023,2026-02-11 21:07:52.119,X
data023,2026-02-11 21:08:52.740,X
data023,2026-02-11 21:09:51.109,X
data023,2026-02-11 21:10:52.420,X
data023,2026-02-11 21:11:51.650,X
data023,2026-02-11 21:12:48.929,X
data023,2026-02-11 21:13:46.500,X
data023,2026-02-11 21:14:45.930,X
data023,2026-02-11 21:15:44.720,X
data023,2026-02-11 21:16:47.990,X
data023,2026-02-11 21:17:47.319,X
data023,2026-02-11 21:18:44.029,X
data023,2026-02-11 21:19:44.699,X
data023,2026-02-11 21:20:42.619,X
data023,2026-02-11 21:21:44.289,X
data023,2026-02-11 21:22:58.469,X
data023,2026-02-11 21:24:25.870,X
data023,2026-02-11 21:25:25.670,X
data023,2026-02-11 21:26:28.909,X
data023,2026-02-11 21:27:30.470,X
data023,2026-02-11 21:28:25.860,X
data023,2026-02-11 21:29:27.579,X
data023,2026-02-11 21:30:29.069,X
data023,2026-02-11 21:31:26.770,X
data023,2026-02-11 21:32:23.800,X
data023,2026-02-11 21:33:34.980,X
data023,2026-02-11 21:34:37.879,X
