CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2C5890,2C,生産用機器,58,除電除塵・着脱装置,90,専用補修部品,A
2C5891,2C,生産用機器,58,除電除塵・着脱装置,91,移設・改造,A
2C5892,2C,生産用機器,58,除電除塵・着脱装置,92,修理・オ－バ－ホ－ル,A
2C5893,2C,生産用機器,58,除電除塵・着脱装置,93,二次側配線・配管,A
2C5899,2C,生産用機器,58,除電除塵・着脱装置,99,その他,A
2C5921,2C,生産用機器,59,クーラント・切粉処理装置,21,クーラント装置,A
2C5922,2C,生産用機器,59,クーラント・切粉処理装置,22,濾過装置,A
2C5923,2C,生産用機器,59,クーラント・切粉処理装置,23,切粉処理装置,A
2C5924,2C,生産用機器,59,クーラント・切粉処理装置,24,チップコンベア,A
2C5950,2C,生産用機器,59,クーラント・切粉処理装置,50,ソフト（クーラント・切粉処理装置用）,A
2C5990,2C,生産用機器,59,クーラント・切粉処理装置,90,専用補修部品,A
2C5991,2C,生産用機器,59,クーラント・切粉処理装置,91,移設・改造,A
2C5992,2C,生産用機器,59,クーラント・切粉処理装置,92,修理・オ－バ－ホ－ル,A
2C5993,2C,生産用機器,59,クーラント・切粉処理装置,93,二次側配線・配管,A
2C5999,2C,生産用機器,59,クーラント・切粉処理装置,99,その他,A
2C6021,2C,生産用機器,60,原料処理装置,21,液体処理装置,A
2C6022,2C,生産用機器,60,原料処理装置,22,液体供給・回収装置,A
2C6023,2C,生産用機器,60,原料処理装置,23,粉体処理装置,A
2C6024,2C,生産用機器,60,原料処理装置,24,攪拌機,A
2C6050,2C,生産用機器,60,原料処理装置,50,ソフト（原料処理装置用）,A
2C6090,2C,生産用機器,60,原料処理装置,90,専用補修部品,A
2C6091,2C,生産用機器,60,原料処理装置,91,移設・改造,A
2C6092,2C,生産用機器,60,原料処理装置,92,修理・オ－バ－ホ－ル,A
2C6093,2C,生産用機器,60,原料処理装置,93,二次側配線・配管,A
2C6099,2C,生産用機器,60,原料処理装置,99,その他,A
2C6121,2C,生産用機器,61,ガス関係装置,21,排ガス処理装置,A
2C6122,2C,生産用機器,61,ガス関係装置,22,ガス発生装置,A
2C6123,2C,生産用機器,61,ガス関係装置,23,ガス供給装置,A
2C6150,2C,生産用機器,61,ガス関係装置,50,ソフト（ガス関係装置用）,A
2C6190,2C,生産用機器,61,ガス関係装置,90,専用補修部品,A
2C6191,2C,生産用機器,61,ガス関係装置,91,移設・改造,A
2C6192,2C,生産用機器,61,ガス関係装置,92,修理・オ－バ－ホ－ル,A
2C6193,2C,生産用機器,61,ガス関係装置,93,二次側配線・配管,A
2C6199,2C,生産用機器,61,ガス関係装置,99,その他,A
2C6221,2C,生産用機器,62,装置用コンプレッサ,21,装置用コンプレッサ,A
2C6250,2C,生産用機器,62,装置用コンプレッサ,50,ソフト（装置用コンプレッサ用）,A
2C6290,2C,生産用機器,62,装置用コンプレッサ,90,専用補修部品,A
2C6291,2C,生産用機器,62,装置用コンプレッサ,91,移設・改造,A
2C6292,2C,生産用機器,62,装置用コンプレッサ,92,修理・オ－バ－ホ－ル,A
2C6293,2C,生産用機器,62,装置用コンプレッサ,93,二次側配線・配管,A
2C6299,2C,生産用機器,62,装置用コンプレッサ,99,その他,A
2C6321,2C,生産用機器,63,ＵＶ照射装置,21,ＵＶ照射装置,A
2C6350,2C,生産用機器,63,ＵＶ照射装置,50,ソフト（ＵＶ照射装置用）,A
2C6390,2C,生産用機器,63,ＵＶ照射装置,90,専用補修部品,A
2C6391,2C,生産用機器,63,ＵＶ照射装置,91,移設・改造,A
2C6392,2C,生産用機器,63,ＵＶ照射装置,92,修理・オ－バ－ホ－ル,A
2C6393,2C,生産用機器,63,ＵＶ照射装置,93,二次側配線・配管,A
2C6399,2C,生産用機器,63,ＵＶ照射装置,99,その他,A
2C6401,2C,生産用機器,64,液晶パネル処理工程,01,本体,A
2C6450,2C,生産用機器,64,液晶パネル処理工程,50,ソフト（液晶パネル処理工程用）,A
2C6490,2C,生産用機器,64,液晶パネル処理工程,90,専用補修部品,A
2C6491,2C,生産用機器,64,液晶パネル処理工程,91,移設・改造,A
2C6492,2C,生産用機器,64,液晶パネル処理工程,92,修理・オ－バ－ホ－ル,A
2C6493,2C,生産用機器,64,液晶パネル処理工程,93,二次側配線・配管,A
2C6499,2C,生産用機器,64,液晶パネル処理工程,99,その他,A
2C6501,2C,生産用機器,65,液晶実装工程,01,本体,A
